label	text_a	text_b
1	The phosphatidylinositol-3-kinase-like kinase ATM (ataxia-telangiectasia mutated) has a central role in coordinating DNA damage responses, including cell-cycle checkpoint control, DNA repair and apoptosis.	Activated Cdk5 phosphorylates the ATM protein in response to DNA damage.
0	Interruption of the Cdk5-ATM pathway attenuates DNA-damage-induced neuronal cell cycle re-entry and expression of the p53 targets PUMA and Bax, protecting neurons from death.	Activated Cdk5 regulates DNA damage-induced neuronal death.
1	Phosphorylation at Ser 794 precedes, and is required for, ATM autophosphorylation at Ser 1981, and activates ATM kinase activity.	Activated Cdk5 regulates DNA damage-induced neuronal death.
2	PPM1D mutations were mutually exclusive with TP53 mutations in BSG and attenuated p53 activation in vitro.PPM1D mutations were truncating alterations in exon 6 that enhanced the ability of PPM1D to suppress the activation of the DNA damage response checkpoint protein CHK2.	Activation of PPM1D enhances p53 function.
1	This study led to the discovery of tumor-specific mutations in PPM1D, encoding wild-type p53-induced protein phosphatase 1D (WIP1), in 37.5% of the BSGs that harbored hallmark H3F3A mutations encoding p.	Activation of PPM1D enhances p53 function.
1	To determine the genetic and epigenetic landscape of these tumors, we performed exomic sequencing of 14 brainstem gliomas (BSGs) and 12 thalamic gliomas.	Activation of PPM1D enhances p53 function.
2	Functional studies demonstrate that the mutations result in enhanced suppression of p53 in response to ionizing radiation exposure, suggesting that the mutant alleles encode hyperactive PPM1D isoforms.	Activation of PPM1D enhances p53 function.
1	More generally, these data provide new insights into the role of rare and of mosaic genetic variants in common conditions, and the use of sequencing in their identification.	Activation of PPM1D enhances p53 function.
0	We show that SRGP-1 functions in engulfing cells and functions as a GTPase activating protein (GAP) for CED-10 (Rac1).Interestingly, loss of srgp-1 function promotes not only the clearance of already dead cells, but also the removal of cells that have been brought to the verge of death through sublethal apoptotic, necrotic or cytotoxic insults.	Activation of the Rac1 homolog CED-10 kills viable cells in SRGP-1 mutant Caenorhabditis elegans.
1	Many of the pathways that mediate this cell removal are conserved through evolution.	Activation of the Rac1 homolog CED-10 kills viable cells in SRGP-1 mutant Caenorhabditis elegans.
1	Here, we identify srgp-1 as a negative regulator of cell clearance in both Caenorhabditis elegans and mammalian cells.	Activation of the Rac1 homolog CED-10 kills viable cells in SRGP-1 mutant Caenorhabditis elegans.
0	Here, we show that an inhibitory MHC I receptor, Ly49Q, was crucial for the swift polarization of and tissue infiltration by neutrophils.	Active Ly49Q induces neutrophil polarization.
0	We propose that Ly49Q is pivotal in switching neutrophils to their polarized morphology and rapid migration upon inflammation, through its spatiotemporal regulation of membrane rafts and raft-associated signaling molecules.	Active Ly49Q induces neutrophil polarization.
1	Ly49Q-dependent polarization and migration were affected by Ly49Q regulation of membrane raft functions.	Active Ly49Q induces neutrophil polarization.
1	However, in the presence of inflammatory stimuli, Ly49Q mediated rapid neutrophil polarization and tissue infiltration in an ITIM-domain-dependent manner.	Active Ly49Q induces neutrophil polarization.
2	Here, we show that an inhibitory MHC I receptor, Ly49Q, was crucial for the swift polarization of and tissue infiltration by neutrophils.	Active Ly49Q prevents neutrophil polarization.
2	We propose that Ly49Q is pivotal in switching neutrophils to their polarized morphology and rapid migration upon inflammation, through its spatiotemporal regulation of membrane rafts and raft-associated signaling molecules.	Active Ly49Q prevents neutrophil polarization.
1	During the steady state, Ly49Q inhibited neutrophil adhesion by preventing focal-complex formation, likely by inhibiting Src and PI3 kinases.	Active Ly49Q prevents neutrophil polarization.
1	Neutrophils rapidly undergo polarization and directional movement to infiltrate the sites of infection and inflammation.	Active Ly49Q prevents neutrophil polarization.
0	However, caspase-11 was dispensable for the fusion of lysosomes with phagosomes containing nonpathogenic bacteria, uncovering a fundamental difference in the trafficking of phagosomes according to their cargo.	Active caspase-11 participate in regulating phagosome-lysosome fusion.
1	Here, we demonstrated that caspase-11 was dispensable for caspase-1 activation in response to Legionella, Salmonella, Francisella, and Listeria.	Active caspase-11 participate in regulating phagosome-lysosome fusion.
0	Here, we demonstrated that caspase-11 was dispensable for caspase-1 activation in response to Legionella, Salmonella, Francisella, and Listeria.	Active caspase-11 protein promotes pyroptosis.
0	We also determined that active mouse caspase-11 was required for restriction of L. pneumophila infection.	Active caspase-11 protein promotes pyroptosis.
1	Caspase-11 mediates caspase-1 activation in response to lipopolysaccharide and bacterial toxins, and yet its role during bacterial infection is unknown.	Active caspase-11 protein promotes pyroptosis.
1	Caspase-11 promoted the fusion of the L. pneumophila vacuole with lysosomes by modulating actin polymerization through cofilin.	Active caspase-11 protein promotes pyroptosis.
0	We have demonstrated that major tissue-resident macrophage populations, including liver Kupffer cells and lung alveolar, splenic, and peritoneal macrophages, are established prior to birth and maintain themselves subsequently during adulthood independent of replenishment by blood monocytes.	Adult tissue-resident macrophages are seeded before birth.
1	Emerging evidence for labor division indicates that manipulation of these cells could bear therapeutic potential.	Adult tissue-resident macrophages are seeded before birth.
0	Recently, it has become evident that most adult tissue macrophages originate during embryonic development and not from circulating monocytes.	Adult tissue-resident macrophages are seeded before birth.
1	Here, we define the tools used for identifying the complex origin of tissue macrophages and discuss the relative contributions of tissue niche versus ontological origin to the regulation of macrophage functions during steady state and inflammation.	Adult tissue-resident macrophages are seeded before birth.
0	We have demonstrated that major tissue-resident macrophage populations, including liver Kupffer cells and lung alveolar, splenic, and peritoneal macrophages, are established prior to birth and maintain themselves subsequently during adulthood independent of replenishment by blood monocytes.	Adult tissue-resident macrophages are seeded before birth.
1	Here we report a fate-mapping study of the murine monocyte and macrophage compartment taking advantage of constitutive and conditional CX(3)CR1 promoter-driven Cre recombinase expression.	Adult tissue-resident macrophages are seeded before birth.
0	Recently, it has become evident that most adult tissue macrophages originate during embryonic development and not from circulating monocytes.	Adult tissue-resident macrophages are seeded before birth.
1	Macrophages are distributed in tissues throughout the body and contribute to both homeostasis and disease.	Adult tissue-resident macrophages are seeded before birth.
0	We have demonstrated that major tissue-resident macrophage populations, including liver Kupffer cells and lung alveolar, splenic, and peritoneal macrophages, are established prior to birth and maintain themselves subsequently during adulthood independent of replenishment by blood monocytes.	Adult tissue-resident macrophages possess a self-renewing capacity.
1	Mononuclear phagocytes, including monocytes, macrophages, and dendritic cells, contribute to tissue integrity as well as to innate and adaptive immune defense.	Adult tissue-resident macrophages possess a self-renewing capacity.
0	Here we show that MSU and CPPD engage the caspase-1-activating NALP3 (also called cryopyrin) inflammasome, resulting in the production of active interleukin (IL)-1β and IL-18.	Aggravated inflammation is dependent on NLRP3 inflammasome activation.
0	Macrophages from mice deficient in various components of the inflammasome such as caspase-1, ASC and NALP3 are defective in crystal-induced IL-1β activation.	Aggravated inflammation is dependent on NLRP3 inflammasome activation.
1	Development of the acute and chronic inflammatory responses known as gout and pseudogout are associated with the deposition of monosodium urate (MSU) or calcium pyrophosphate dihydrate (CPPD) crystals, respectively, in joints and periarticular tissues.	Aggravated inflammation is dependent on NLRP3 inflammasome activation.
1	Moreover, an impaired neutrophil influx is found in an in vivo model of crystal-induced peritonitis in inflammasome-deficient mice or mice deficient in the IL-1β receptor (IL-1R).	Aggravated inflammation is dependent on NLRP3 inflammasome activation.
2	RESULTS Alirocumab reduced ultracentrifugally isolated LDL-C by 55.1%, LDL-apoB by 56.3%, and plasma Lp(a) by 18.7%.The fall in LDL-apoB was caused by an 80.4% increase in LDL-apoB FCR and a 23.9% reduction in LDL-apoB PR.	Alirocumab treatment reduces apo(a) fractional clearance rate.
2	The FCR of apo(a) tended to increase (24.6%) without any change in apo(a) PR.	Alirocumab treatment reduces apo(a) fractional clearance rate.
2	CONCLUSIONS Alirocumab decreased LDL-C and LDL-apoB by increasing IDL- and LDL-apoB FCRs and decreasing LDL-apoB PR.	Alirocumab treatment reduces apo(a) fractional clearance rate.
2	The increase in apo(a) FCR during alirocumab treatment suggests that increased LDL receptors may also play a role in the reduction of plasma Lp(a).	Alirocumab treatment reduces apo(a) fractional clearance rate.
1	Unique identifier: NCT01959971.	Alirocumab treatment reduces apo(a) fractional clearance rate.
1	Inhibition of PCSK9 also results in reductions of plasma lipoprotein (a) levels.	Alirocumab treatment reduces apo(a) fractional clearance rate.
1	Although studies in mice and cells have identified increased hepatic LDL receptors as the basis for LDL lowering by PCSK9 inhibitors, there have been no human studies characterizing the effects of PCSK9 inhibitors on lipoprotein metabolism.	Alirocumab treatment reduces apo(a) fractional clearance rate.
1	These results are consistent with increases in LDL receptors available to clear IDL and LDL from blood during PCSK9 inhibition.	Alirocumab treatment reduces apo(a) fractional clearance rate.
1	At the end of each period, fractional clearance rates (FCRs) and production rates (PRs) of apoB and apo(a) were determined.	Alirocumab treatment reduces apo(a) fractional clearance rate.
